freq,verbatim_term,prefLabel_en
2,currier,currier
3,master,master
2,harvester,harvester
4,king,king
1,historicus,historicu
1,bergiers,bergier
1,blacksmith,blacksmith
4,furbishers,furbisher
2,women,woman
1,surgeons,surgeon
2,joiners,joiner
1,fabrorum,fabrorum
7,pewterers,pewterer
1,harvesters,harvester
1,plowman,plowman
8,painter,painter
3,apprentices,apprentice
3,merchant,merchant
14,painters,painter
2,merchants,merchant
1,fuller,fuller
1,barbers',barber
1,goldsmiths’,goldsmith
2,glassworkers’,glassworker
5,goldsmith,goldsmith
1,sophisticators,sophisticator
1,thieves,thiefe
1,candlemakers,candlemaker
1,founders',founder
2,miners,miner
4,workers,worker
1,people,person
1,alchemists,alchemist
3,worker,worker
1,infantry,infantry
5,masters,master
1,cavalry,cavalry
7,gunner,gunner
4,glassworkers,glassworker
6,glassmakers,glassmaker
3,glassworker,glassworker
9,founder,founder
1,pioneers,pioneer
2,gunners,gunner
14,founders,founder
5,apothecaries,apothecary
2,pewterer,pewterer
2,rich,rich
2,scribes,scribe
1,white-limers,white-limers
3,joiner,joiner
1,villagers,villager
1,coppersmith,coppersmith
2,conjuror,conjuror
1,spectators,spectator
1,bystander,bystander
1,bystanders,bystander
1,fellow,fellow
1,servant,servant
1,messenger,messenger
1,founablesders,founablesder
1,gardener,gardener
19,goldsmiths,goldsmith
1,dyers,dyer
1,gardeners,gardener
1,monk,monk
1,vintagers,vintager
2,potter,potter
1,shearer,shearer
1,pintori,pintori
1,arquebusier,arquebusier
1,coppersmiths,coppersmith
1,scribe,scribe
1,shoemaker,shoemaker
3,farriers,farrier
5,printers,printer
1,illumination,illumination
1,shoemakers,shoemaker
1,tanners,tanner
2,illuminators,illuminator
4,artist,artist
3,apprentice,apprentice
3,locksmiths,locksmith
2,molder,molder
1,cutlers,cutler
1,printer’s,printer
2,goldsmith’s,goldsmith
1,apothecary,apothecary
1,currier's,currier
1,barbers,barber
1,tanner,tanner
4,potters,potter
2,clockmakers,clockmaker
2,silversmiths,silversmith
1,baker,baker
1,glassmakers’,glassmaker
2,molders,molder
3,artisans,artisan
1,rustics,rustic
1,grocers,grocer
1,furbisher,furbisher
1,workman,workman
1,locksmith,locksmith
1,leadsmiths,leadsmith
1,perfumers,perfumer
1,elderly,elderly
1,grooms,groom
1,archers,archer
2,glassmaker’s,glassmaker
1,disciples,disciple
1,readers,reader
1,peasants,peasant
1,rustic,rustic
1,boy,boy
1,casters,caster
1,maistre,maistre
1,curriers,currier
1,tiler,tiler
1,perfumer,perfumer
1,mason,mason
1,weaver,weaver
1,medicari,medicari
1,orphans,orphan
1,inventor,inventor
1,authors,author
1,peasant,peasant
1,wheelwrights,wheelwright
1,bimbalotiers,bimbalotier
1,medicus,medicu
1,inventor of rustic figulines,inventor
1,queen mother,queen mother
1,frame makers,frame maker
1,guitar makers,guitar maker
1,iron etchers,iron etcher
1,glass button makers,glass button maker
1,guitar maker,guitar maker
1,common painters,painter
1,ancient lapidaries,ancient lapidary
1,gunpowder makers,gunpowder maker
1,"others, who work in the countryside","others, who work in the countryside"
1,sworn master pewterers,sworn master pewterer
1,mat maker,mat maker
1,stone cutters,stone cutter
1,commanders of malta,commanders of maltum
1,those who make gemstone foils,those who make gemstone foil
1,sworn masters,master
1,iron workers,worker
1,cutters of printing plates,cutters of printing plate
1,the one who makes a profession of working in oil,the one who makes a profession of working in oil
1,sheath makers,sheath maker
1,sheath maker,sheath maker
1,poor peasants,peasant
1,those who sharpen,those who sharpen
1,founders of small works  of tin,founder
2,artisans who work in large works,artisan
1,those who create sword guards,those who create sword guard
1,worker who made the wood piece,worker
2,common people,person
1,gunpowder maker,gunpowder maker
1,fountain maker,fountain maker
1,crayfish catchers,crayfish catcher
1,founders of great works,founder
1,those who make pots,those who make pot
1,the one who taught me to mold them,the one who taught me to mold them
1,pastry makers,pastry maker
1,small peddlers,small peddler
1,those who work in plate and large wares,those who work in plate and large ware
1,artillery founders,founder
1,shop boy,boy
1,little children,little child
1,founders of large casts for statues,founder
1,founders of artillery &amp; bells,founder
1,"artisans of metals, of gold, &amp; of silver, &amp; others",artisan
1,goldsmiths who work in large wares and plate,goldsmith
1,makers of gilded leather,makers of gilded leather
1,goldsmiths who work large wares,goldsmith
1,founders of large castings,founder
1,someone who sings,someone who sing
